 Results for ntg,nwn,filling,cluster,ntot,ndim,inhgrid,chcrt0
       20000         800  0.849906061910793      16B         200           2
           0  0.244367952437218     
 ed,u,beta,iter,run,meas,tprime,tperp
  0.393699895375276        1.50000000000000        2.00000000000000     
           1       80000           1  0.000000000000000E+000
  0.000000000000000E+000
 nfocc=     <Sign>     skip
  0.424953030955396        1.00000000000000                4
 Vmax ,nuse, alpha, vblmax
         100           8  0.510000000000000                4
           mu**2            T*chi_ii(T)
  0.000000000000000E+000  0.000000000000000E+000
 iter            1  of            1
   configuration  v_tau,v_site, v_s  
   1.00000000000000               17
   7504.00000000000                7           1
   2593.00000000000               12          -1
   15794.0000000000               12          -1
   15325.0000000000               12          -1
   13447.0000000000                4          -1
   13213.0000000000                5          -1
   15427.0000000000                1           1
   6848.00000000000                2           1
   14630.0000000000               15          -1
   15460.0000000000                4          -1
   10596.0000000000                9           1
   11304.0000000000                7           1
   14695.0000000000                2           1
   17750.0000000000               14          -1
   6023.00000000000                9           1
   2276.00000000000               14          -1
   11715.0000000000                2           1
 n   ic  sigma(n,ic)  sigmapt(n,ic)  GcKfsc(n,ic)  iwn(n)   quadw(n)
   78    1  (-0.112575E+00,-0.222946E-02) (-0.112534E+00,-0.205448E-02) (-0.647351E-05,-0.405489E-02)    246.615023      1.000000
   79    1  (-0.112575E+00,-0.220141E-02) (-0.112534E+00,-0.202863E-02) (-0.631168E-05,-0.400388E-02)    249.756616      1.000000
   80    1  (-0.112575E+00,-0.217407E-02) (-0.112534E+00,-0.200344E-02) (-0.615584E-05,-0.395414E-02)    252.898209      1.000000
   81    1  (-0.112575E+00,-0.214739E-02) (-0.112534E+00,-0.197885E-02) (-0.600570E-05,-0.390563E-02)    256.039801      1.000000
   82    1  (-0.112575E+00,-0.212137E-02) (-0.112534E+00,-0.195487E-02) (-0.586099E-05,-0.385829E-02)    259.181394      1.000000
   83    1  (-0.112575E+00,-0.209596E-02) (-0.112534E+00,-0.193146E-02) (-0.572145E-05,-0.381208E-02)    262.322987      1.000000
   84    1  (-0.112575E+00,-0.207116E-02) (-0.112534E+00,-0.190860E-02) (-0.558684E-05,-0.376697E-02)    265.464579      1.000000
   85    1  (-0.112575E+00,-0.204693E-02) (-0.112534E+00,-0.188628E-02) (-0.545691E-05,-0.372291E-02)    268.606172      1.000000
   86    1  (-0.112574E+00,-0.202327E-02) (-0.112533E+00,-0.186447E-02) (-0.533147E-05,-0.367987E-02)    271.747765      1.000000
   87    1  (-0.112574E+00,-0.200015E-02) (-0.112533E+00,-0.184317E-02) (-0.521031E-05,-0.363782E-02)    274.889357      1.000000
   88    1  (-0.112574E+00,-0.197755E-02) (-0.112533E+00,-0.182234E-02) (-0.509323E-05,-0.359671E-02)    278.030950      1.000000
   89    1  (-0.112574E+00,-0.195545E-02) (-0.112533E+00,-0.180198E-02) (-0.498005E-05,-0.355652E-02)    281.172542      1.000000
   90    1  (-0.112574E+00,-0.193385E-02) (-0.112533E+00,-0.178207E-02) (-0.487060E-05,-0.351723E-02)    284.314135      1.000000
   91    1  (-0.112574E+00,-0.191271E-02) (-0.112533E+00,-0.176259E-02) (-0.476472E-05,-0.347879E-02)    287.455728      1.000000
   92    1  (-0.112574E+00,-0.189204E-02) (-0.112533E+00,-0.174354E-02) (-0.466226E-05,-0.344118E-02)    290.597320      1.000000
   93    1  (-0.112574E+00,-0.187180E-02) (-0.112533E+00,-0.172489E-02) (-0.456306E-05,-0.340437E-02)    293.738913      1.000000
   94    1  (-0.112574E+00,-0.185199E-02) (-0.112533E+00,-0.170664E-02) (-0.446700E-05,-0.336835E-02)    296.880506      1.000000
   95    1  (-0.112574E+00,-0.183260E-02) (-0.112533E+00,-0.168877E-02) (-0.437394E-05,-0.333308E-02)    300.022098      1.000000
   96    1  (-0.112574E+00,-0.181361E-02) (-0.112533E+00,-0.167127E-02) (-0.428376E-05,-0.329854E-02)    303.163691      1.000000
   97    1  (-0.112574E+00,-0.179501E-02) (-0.112533E+00,-0.165413E-02) (-0.419634E-05,-0.326471E-02)    306.305284      1.000000
   98    1  (-0.112574E+00,-0.177679E-02) (-0.112533E+00,-0.163734E-02) (-0.411157E-05,-0.323156E-02)    309.446876      1.000000
   99    1  (-0.112573E+00,-0.175893E-02) (-0.112533E+00,-0.162088E-02) (-0.402934E-05,-0.319909E-02)    312.588469      1.000000
  100    1  (-0.112573E+00,-0.174143E-02) (-0.112533E+00,-0.160476E-02) (-0.394955E-05,-0.316725E-02)    315.730062      1.000000
  101    1  (-0.112573E+00,-0.172427E-02) (-0.112533E+00,-0.158895E-02) (-0.387211E-05,-0.313605E-02)    318.871654      1.000000
  102    1  (-0.112573E+00,-0.170745E-02) (-0.112532E+00,-0.157344E-02) (-0.379693E-05,-0.310545E-02)    322.013247      1.000000
  103    1  (-0.112573E+00,-0.169095E-02) (-0.112532E+00,-0.155824E-02) (-0.372391E-05,-0.307545E-02)    325.154840      1.000000
  104    1  (-0.112573E+00,-0.167477E-02) (-0.112532E+00,-0.154333E-02) (-0.365298E-05,-0.304602E-02)    328.296432      1.000000
  105    1  (-0.112573E+00,-0.165890E-02) (-0.112532E+00,-0.152870E-02) (-0.358406E-05,-0.301715E-02)    331.438025      1.000000
  106    1  (-0.112573E+00,-0.164332E-02) (-0.112532E+00,-0.151435E-02) (-0.351707E-05,-0.298882E-02)    334.579618      1.000000
  107    1  (-0.112573E+00,-0.162804E-02) (-0.112532E+00,-0.150026E-02) (-0.345194E-05,-0.296102E-02)    337.721210      1.000000
  108    1  (-0.112573E+00,-0.161303E-02) (-0.112532E+00,-0.148644E-02) (-0.338860E-05,-0.293373E-02)    340.862803      1.000000
  109    1  (-0.112573E+00,-0.159830E-02) (-0.112532E+00,-0.147286E-02) (-0.332699E-05,-0.290693E-02)    344.004396      1.000000
  110    1  (-0.112573E+00,-0.158384E-02) (-0.112532E+00,-0.145953E-02) (-0.326705E-05,-0.288063E-02)    347.145988      1.000000
  111    1  (-0.112573E+00,-0.156963E-02) (-0.112532E+00,-0.144644E-02) (-0.320871E-05,-0.285479E-02)    350.287581      1.000000
  112    1  (-0.112573E+00,-0.155568E-02) (-0.112532E+00,-0.143359E-02) (-0.315192E-05,-0.282942E-02)    353.429174      1.000000
  113    1  (-0.112573E+00,-0.154197E-02) (-0.112532E+00,-0.142096E-02) (-0.309663E-05,-0.280449E-02)    356.570766      1.000000
  114    1  (-0.112573E+00,-0.152851E-02) (-0.112532E+00,-0.140855E-02) (-0.304277E-05,-0.277999E-02)    359.712359      1.000000
  115    1  (-0.112573E+00,-0.151527E-02) (-0.112532E+00,-0.139635E-02) (-0.299031E-05,-0.275592E-02)    362.853951      1.000000
  116    1  (-0.112573E+00,-0.150227E-02) (-0.112532E+00,-0.138437E-02) (-0.293920E-05,-0.273227E-02)    365.995544      1.000000
  117    1  (-0.112573E+00,-0.148948E-02) (-0.112532E+00,-0.137259E-02) (-0.288938E-05,-0.270902E-02)    369.137137      1.000000
