 Results for ntg,nwn,filling,cluster,ntot,ndim,inhgrid,chcrt0
       20000         800  0.849906061910793      16B         200           2
           0  0.244367952437218     
 ed,u,beta,iter,run,meas,tprime,tperp
  0.393699895375276        1.50000000000000        2.00000000000000     
           1       80000           1  0.000000000000000E+000
  0.000000000000000E+000
 nfocc=     <Sign>     skip
  0.424953030955396        1.00000000000000                4
 Vmax ,nuse, alpha, vblmax
         100           8  0.510000000000000                4
           mu**2            T*chi_ii(T)
  0.000000000000000E+000  0.000000000000000E+000
 iter            1  of            1
   configuration  v_tau,v_site, v_s  
   1.00000000000000               17
   7504.00000000000                7           1
   2593.00000000000               12          -1
   15794.0000000000               12          -1
   15325.0000000000               12          -1
   13447.0000000000                4          -1
   13213.0000000000                5          -1
   15427.0000000000                1           1
   6848.00000000000                2           1
   14630.0000000000               15          -1
   15460.0000000000                4          -1
   10596.0000000000                9           1
   11304.0000000000                7           1
   14695.0000000000                2           1
   17750.0000000000               14          -1
   6023.00000000000                9           1
   2276.00000000000               14          -1
   11715.0000000000                2           1
 n   ic  sigma(n,ic)  sigmapt(n,ic)  GcKfsc(n,ic)  iwn(n)   quadw(n)
  597    5  (-0.112571E+00,-0.292913E-03) (-0.112530E+00,-0.269822E-03) (-0.111739E-06,-0.532736E-03)   1877.101611      1.000000
  598    5  (-0.112571E+00,-0.292424E-03) (-0.112530E+00,-0.269371E-03) (-0.111366E-06,-0.531846E-03)   1880.243203      1.000000
  599    5  (-0.112571E+00,-0.291936E-03) (-0.112530E+00,-0.268921E-03) (-0.110995E-06,-0.530959E-03)   1883.384796      1.000000
  600    5  (-0.112571E+00,-0.291450E-03) (-0.112530E+00,-0.268472E-03) (-0.110626E-06,-0.530075E-03)   1886.526388      1.000000
  601    5  (-0.112571E+00,-0.290965E-03) (-0.112530E+00,-0.268025E-03) (-0.110258E-06,-0.529193E-03)   1889.667981      1.000000
  602    5  (-0.112571E+00,-0.290482E-03) (-0.112530E+00,-0.267580E-03) (-0.109892E-06,-0.528315E-03)   1892.809574      1.000000
  603    5  (-0.112571E+00,-0.290001E-03) (-0.112530E+00,-0.267136E-03) (-0.109529E-06,-0.527440E-03)   1895.951166      1.000000
  604    5  (-0.112571E+00,-0.289521E-03) (-0.112530E+00,-0.266693E-03) (-0.109166E-06,-0.526567E-03)   1899.092759      1.000000
  605    5  (-0.112571E+00,-0.289043E-03) (-0.112530E+00,-0.266252E-03) (-0.108806E-06,-0.525698E-03)   1902.234352      1.000000
  606    5  (-0.112571E+00,-0.288567E-03) (-0.112530E+00,-0.265812E-03) (-0.108448E-06,-0.524831E-03)   1905.375944      1.000000
  607    5  (-0.112571E+00,-0.288092E-03) (-0.112530E+00,-0.265374E-03) (-0.108091E-06,-0.523967E-03)   1908.517537      1.000000
  608    5  (-0.112571E+00,-0.287618E-03) (-0.112530E+00,-0.264937E-03) (-0.107736E-06,-0.523106E-03)   1911.659130      1.000000
  609    5  (-0.112571E+00,-0.287146E-03) (-0.112530E+00,-0.264502E-03) (-0.107383E-06,-0.522248E-03)   1914.800722      1.000000
  610    5  (-0.112571E+00,-0.286676E-03) (-0.112530E+00,-0.264068E-03) (-0.107031E-06,-0.521392E-03)   1917.942315      1.000000
  611    5  (-0.112571E+00,-0.286207E-03) (-0.112530E+00,-0.263635E-03) (-0.106681E-06,-0.520539E-03)   1921.083908      1.000000
  612    5  (-0.112571E+00,-0.285740E-03) (-0.112530E+00,-0.263204E-03) (-0.106333E-06,-0.519690E-03)   1924.225500      1.000000
  613    5  (-0.112571E+00,-0.285274E-03) (-0.112530E+00,-0.262774E-03) (-0.105987E-06,-0.518842E-03)   1927.367093      1.000000
  614    5  (-0.112571E+00,-0.284810E-03) (-0.112530E+00,-0.262346E-03) (-0.105642E-06,-0.517998E-03)   1930.508686      1.000000
  615    5  (-0.112571E+00,-0.284347E-03) (-0.112530E+00,-0.261919E-03) (-0.105299E-06,-0.517157E-03)   1933.650278      1.000000
  616    5  (-0.112571E+00,-0.283886E-03) (-0.112530E+00,-0.261493E-03) (-0.104958E-06,-0.516318E-03)   1936.791871      1.000000
  617    5  (-0.112571E+00,-0.283426E-03) (-0.112530E+00,-0.261069E-03) (-0.104618E-06,-0.515482E-03)   1939.933464      1.000000
  618    5  (-0.112571E+00,-0.282968E-03) (-0.112530E+00,-0.260646E-03) (-0.104280E-06,-0.514648E-03)   1943.075056      1.000000
  619    5  (-0.112571E+00,-0.282511E-03) (-0.112530E+00,-0.260224E-03) (-0.103944E-06,-0.513817E-03)   1946.216649      1.000000
  620    5  (-0.112571E+00,-0.282056E-03) (-0.112530E+00,-0.259804E-03) (-0.103609E-06,-0.512989E-03)   1949.358242      1.000000
  621    5  (-0.112571E+00,-0.281602E-03) (-0.112530E+00,-0.259385E-03) (-0.103276E-06,-0.512164E-03)   1952.499834      1.000000
  622    5  (-0.112571E+00,-0.281150E-03) (-0.112530E+00,-0.258968E-03) (-0.102944E-06,-0.511341E-03)   1955.641427      1.000000
  623    5  (-0.112571E+00,-0.280699E-03) (-0.112530E+00,-0.258552E-03) (-0.102615E-06,-0.510521E-03)   1958.783020      1.000000
  624    5  (-0.112571E+00,-0.280249E-03) (-0.112530E+00,-0.258137E-03) (-0.102286E-06,-0.509704E-03)   1961.924612      1.000000
  625    5  (-0.112571E+00,-0.279801E-03) (-0.112530E+00,-0.257723E-03) (-0.101959E-06,-0.508889E-03)   1965.066205      1.000000
  626    5  (-0.112571E+00,-0.279355E-03) (-0.112530E+00,-0.257311E-03) (-0.101634E-06,-0.508076E-03)   1968.207797      1.000000
  627    5  (-0.112571E+00,-0.278909E-03) (-0.112530E+00,-0.256900E-03) (-0.101310E-06,-0.507267E-03)   1971.349390      1.000000
  628    5  (-0.112571E+00,-0.278466E-03) (-0.112530E+00,-0.256491E-03) (-0.100988E-06,-0.506460E-03)   1974.490983      1.000000
  629    5  (-0.112571E+00,-0.278023E-03) (-0.112530E+00,-0.256083E-03) (-0.100668E-06,-0.505655E-03)   1977.632575      1.000000
  630    5  (-0.112571E+00,-0.277582E-03) (-0.112530E+00,-0.255675E-03) (-0.100349E-06,-0.504853E-03)   1980.774168      1.000000
  631    5  (-0.112571E+00,-0.277143E-03) (-0.112530E+00,-0.255270E-03) (-0.100031E-06,-0.504054E-03)   1983.915761      1.000000
  632    5  (-0.112571E+00,-0.276705E-03) (-0.112530E+00,-0.254865E-03) (-0.997151E-07,-0.503257E-03)   1987.057353      1.000000
  633    5  (-0.112571E+00,-0.276268E-03) (-0.112530E+00,-0.254462E-03) (-0.994005E-07,-0.502462E-03)   1990.198946      1.000000
  634    5  (-0.112571E+00,-0.275832E-03) (-0.112530E+00,-0.254060E-03) (-0.990874E-07,-0.501670E-03)   1993.340539      1.000000
  635    5  (-0.112571E+00,-0.275398E-03) (-0.112530E+00,-0.253660E-03) (-0.987758E-07,-0.500881E-03)   1996.482131      1.000000
  636    5  (-0.112571E+00,-0.274966E-03) (-0.112530E+00,-0.253260E-03) (-0.984657E-07,-0.500094E-03)   1999.623724      1.000000
  637    5  (-0.112571E+00,-0.274534E-03) (-0.112530E+00,-0.252862E-03) (-0.981570E-07,-0.499310E-03)   2002.765317      1.000000
  638    5  (-0.112571E+00,-0.274104E-03) (-0.112530E+00,-0.252465E-03) (-0.978498E-07,-0.498528E-03)   2005.906909      1.000000
  639    5  (-0.112571E+00,-0.273676E-03) (-0.112530E+00,-0.252069E-03) (-0.975440E-07,-0.497748E-03)   2009.048502      1.000000
  640    5  (-0.112571E+00,-0.273248E-03) (-0.112530E+00,-0.251675E-03) (-0.972397E-07,-0.496971E-03)   2012.190095      1.000000
  641    5  (-0.112571E+00,-0.272822E-03) (-0.112530E+00,-0.251282E-03) (-0.969368E-07,-0.496196E-03)   2015.331687      1.000000
  642    5  (-0.112571E+00,-0.272398E-03) (-0.112530E+00,-0.250890E-03) (-0.966352E-07,-0.495424E-03)   2018.473280      1.000000
  643    5  (-0.112571E+00,-0.271975E-03) (-0.112530E+00,-0.250499E-03) (-0.963351E-07,-0.494654E-03)   2021.614873      1.000000
  644    5  (-0.112571E+00,-0.271553E-03) (-0.112530E+00,-0.250109E-03) (-0.960364E-07,-0.493887E-03)   2024.756465      1.000000
  645    5  (-0.112571E+00,-0.271132E-03) (-0.112530E+00,-0.249721E-03) (-0.957391E-07,-0.493121E-03)   2027.898058      1.000000
  646    5  (-0.112571E+00,-0.270712E-03) (-0.112530E+00,-0.249333E-03) (-0.954431E-07,-0.492359E-03)   2031.039651      1.000000
  647    5  (-0.112571E+00,-0.270294E-03) (-0.112530E+00,-0.248947E-03) (-0.951486E-07,-0.491598E-03)   2034.181243      1.000000
  648    5  (-0.112571E+00,-0.269878E-03) (-0.112530E+00,-0.248562E-03) (-0.948553E-07,-0.490840E-03)   2037.322836      1.000000
  649    5  (-0.112571E+00,-0.269462E-03) (-0.112530E+00,-0.248179E-03) (-0.945635E-07,-0.490084E-03)   2040.464429      1.000000
  650    5  (-0.112571E+00,-0.269048E-03) (-0.112530E+00,-0.247796E-03) (-0.942730E-07,-0.489331E-03)   2043.606021      1.000000
  651    5  (-0.112571E+00,-0.268635E-03) (-0.112530E+00,-0.247415E-03) (-0.939838E-07,-0.488580E-03)   2046.747614      1.000000
  652    5  (-0.112571E+00,-0.268223E-03) (-0.112530E+00,-0.247035E-03) (-0.936959E-07,-0.487831E-03)   2049.889206      1.000000
  653    5  (-0.112571E+00,-0.267813E-03) (-0.112530E+00,-0.246655E-03) (-0.934094E-07,-0.487085E-03)   2053.030799      1.000000
  654    5  (-0.112571E+00,-0.267404E-03) (-0.112530E+00,-0.246278E-03) (-0.931242E-07,-0.486341E-03)   2056.172392      1.000000
  655    5  (-0.112571E+00,-0.266996E-03) (-0.112530E+00,-0.245901E-03) (-0.928403E-07,-0.485599E-03)   2059.313984      1.000000
  656    5  (-0.112571E+00,-0.266589E-03) (-0.112530E+00,-0.245525E-03) (-0.925576E-07,-0.484859E-03)   2062.455577      1.000000
  657    5  (-0.112571E+00,-0.266183E-03) (-0.112530E+00,-0.245151E-03) (-0.922763E-07,-0.484121E-03)   2065.597170      1.000000
  658    5  (-0.112571E+00,-0.265779E-03) (-0.112530E+00,-0.244777E-03) (-0.919963E-07,-0.483386E-03)   2068.738762      1.000000
  659    5  (-0.112571E+00,-0.265376E-03) (-0.112530E+00,-0.244405E-03) (-0.917175E-07,-0.482653E-03)   2071.880355      1.000000
  660    5  (-0.112571E+00,-0.264974E-03) (-0.112530E+00,-0.244034E-03) (-0.914400E-07,-0.481923E-03)   2075.021948      1.000000
  661    5  (-0.112571E+00,-0.264574E-03) (-0.112530E+00,-0.243664E-03) (-0.911637E-07,-0.481194E-03)   2078.163540      1.000000
  662    5  (-0.112571E+00,-0.264175E-03) (-0.112530E+00,-0.243295E-03) (-0.908887E-07,-0.480468E-03)   2081.305133      1.000000
  663    5  (-0.112571E+00,-0.263776E-03) (-0.112530E+00,-0.242927E-03) (-0.906150E-07,-0.479744E-03)   2084.446726      1.000000
  664    5  (-0.112571E+00,-0.263379E-03) (-0.112530E+00,-0.242560E-03) (-0.903424E-07,-0.479022E-03)   2087.588318      1.000000
  665    5  (-0.112571E+00,-0.262984E-03) (-0.112530E+00,-0.242194E-03) (-0.900711E-07,-0.478302E-03)   2090.729911      1.000000
  666    5  (-0.112571E+00,-0.262589E-03) (-0.112530E+00,-0.241830E-03) (-0.898011E-07,-0.477584E-03)   2093.871504      1.000000
  667    5  (-0.112571E+00,-0.262196E-03) (-0.112530E+00,-0.241466E-03) (-0.895322E-07,-0.476869E-03)   2097.013096      1.000000
  668    5  (-0.112571E+00,-0.261803E-03) (-0.112530E+00,-0.241104E-03) (-0.892645E-07,-0.476155E-03)   2100.154689      1.000000
  669    5  (-0.112571E+00,-0.261412E-03) (-0.112530E+00,-0.240742E-03) (-0.889981E-07,-0.475444E-03)   2103.296282      1.000000
  670    5  (-0.112571E+00,-0.261023E-03) (-0.112530E+00,-0.240382E-03) (-0.887328E-07,-0.474735E-03)   2106.437874      1.000000
  671    5  (-0.112571E+00,-0.260634E-03) (-0.112530E+00,-0.240023E-03) (-0.884687E-07,-0.474028E-03)   2109.579467      1.000000
  672    5  (-0.112571E+00,-0.260246E-03) (-0.112530E+00,-0.239664E-03) (-0.882058E-07,-0.473323E-03)   2112.721060      1.000000
  673    5  (-0.112571E+00,-0.259860E-03) (-0.112530E+00,-0.239307E-03) (-0.879441E-07,-0.472620E-03)   2115.862652      1.000000
  674    5  (-0.112571E+00,-0.259475E-03) (-0.112530E+00,-0.238951E-03) (-0.876835E-07,-0.471920E-03)   2119.004245      1.000000
  675    5  (-0.112571E+00,-0.259090E-03) (-0.112530E+00,-0.238596E-03) (-0.874241E-07,-0.471221E-03)   2122.145837      1.000000
  676    5  (-0.112571E+00,-0.258707E-03) (-0.112530E+00,-0.238242E-03) (-0.871658E-07,-0.470525E-03)   2125.287430      1.000000
  677    5  (-0.112571E+00,-0.258326E-03) (-0.112530E+00,-0.237889E-03) (-0.869087E-07,-0.469830E-03)   2128.429023      1.000000
  678    5  (-0.112571E+00,-0.257945E-03) (-0.112530E+00,-0.237537E-03) (-0.866527E-07,-0.469138E-03)   2131.570615      1.000000
  679    5  (-0.112571E+00,-0.257565E-03) (-0.112530E+00,-0.237186E-03) (-0.863978E-07,-0.468447E-03)   2134.712208      1.000000
  680    5  (-0.112571E+00,-0.257187E-03) (-0.112530E+00,-0.236836E-03) (-0.861441E-07,-0.467759E-03)   2137.853801      1.000000
  681    5  (-0.112571E+00,-0.256809E-03) (-0.112530E+00,-0.236487E-03) (-0.858915E-07,-0.467072E-03)   2140.995393      1.000000
  682    5  (-0.112571E+00,-0.256433E-03) (-0.112530E+00,-0.236139E-03) (-0.856400E-07,-0.466388E-03)   2144.136986      1.000000
  683    5  (-0.112571E+00,-0.256058E-03) (-0.112530E+00,-0.235792E-03) (-0.853896E-07,-0.465706E-03)   2147.278579      1.000000
  684    5  (-0.112571E+00,-0.255684E-03) (-0.112530E+00,-0.235446E-03) (-0.851402E-07,-0.465025E-03)   2150.420171      1.000000
  685    5  (-0.112571E+00,-0.255311E-03) (-0.112530E+00,-0.235101E-03) (-0.848920E-07,-0.464347E-03)   2153.561764      1.000000
  686    5  (-0.112571E+00,-0.254939E-03) (-0.112530E+00,-0.234756E-03) (-0.846449E-07,-0.463671E-03)   2156.703357      1.000000
  687    5  (-0.112571E+00,-0.254568E-03) (-0.112530E+00,-0.234413E-03) (-0.843988E-07,-0.462996E-03)   2159.844949      1.000000
  688    5  (-0.112571E+00,-0.254198E-03) (-0.112530E+00,-0.234071E-03) (-0.841538E-07,-0.462324E-03)   2162.986542      1.000000
  689    5  (-0.112571E+00,-0.253830E-03) (-0.112530E+00,-0.233730E-03) (-0.839099E-07,-0.461653E-03)   2166.128135      1.000000
  690    5  (-0.112571E+00,-0.253462E-03) (-0.112530E+00,-0.233390E-03) (-0.836670E-07,-0.460985E-03)   2169.269727      1.000000
  691    5  (-0.112571E+00,-0.253096E-03) (-0.112530E+00,-0.233051E-03) (-0.834252E-07,-0.460318E-03)   2172.411320      1.000000
  692    5  (-0.112571E+00,-0.252730E-03) (-0.112530E+00,-0.232712E-03) (-0.831845E-07,-0.459653E-03)   2175.552913      1.000000
  693    5  (-0.112571E+00,-0.252366E-03) (-0.112530E+00,-0.232375E-03) (-0.829447E-07,-0.458990E-03)   2178.694505      1.000000
  694    5  (-0.112571E+00,-0.252002E-03) (-0.112530E+00,-0.232038E-03) (-0.827061E-07,-0.458330E-03)   2181.836098      1.000000
  695    5  (-0.112571E+00,-0.251640E-03) (-0.112530E+00,-0.231703E-03) (-0.824684E-07,-0.457671E-03)   2184.977691      1.000000
  696    5  (-0.112571E+00,-0.251279E-03) (-0.112530E+00,-0.231368E-03) (-0.822318E-07,-0.457013E-03)   2188.119283      1.000000
  697    5  (-0.112571E+00,-0.250918E-03) (-0.112530E+00,-0.231035E-03) (-0.819961E-07,-0.456358E-03)   2191.260876      1.000000
  698    5  (-0.112571E+00,-0.250559E-03) (-0.112530E+00,-0.230702E-03) (-0.817615E-07,-0.455705E-03)   2194.402469      1.000000
  699    5  (-0.112571E+00,-0.250201E-03) (-0.112530E+00,-0.230370E-03) (-0.815279E-07,-0.455053E-03)   2197.544061      1.000000
  700    5  (-0.112571E+00,-0.249844E-03) (-0.112530E+00,-0.230039E-03) (-0.812953E-07,-0.454404E-03)   2200.685654      1.000000
  701    5  (-0.112571E+00,-0.249488E-03) (-0.112530E+00,-0.229709E-03) (-0.810637E-07,-0.453756E-03)   2203.827246      1.000000
  702    5  (-0.112571E+00,-0.249133E-03) (-0.112530E+00,-0.229380E-03) (-0.808331E-07,-0.453110E-03)   2206.968839      1.000000
  703    5  (-0.112571E+00,-0.248778E-03) (-0.112530E+00,-0.229052E-03) (-0.806034E-07,-0.452466E-03)   2210.110432      1.000000
  704    5  (-0.112571E+00,-0.248425E-03) (-0.112530E+00,-0.228725E-03) (-0.803748E-07,-0.451824E-03)   2213.252024      1.000000
  705    5  (-0.112571E+00,-0.248073E-03) (-0.112530E+00,-0.228398E-03) (-0.801471E-07,-0.451183E-03)   2216.393617      1.000000
  706    5  (-0.112571E+00,-0.247722E-03) (-0.112530E+00,-0.228073E-03) (-0.799204E-07,-0.450545E-03)   2219.535210      1.000000
  707    5  (-0.112571E+00,-0.247372E-03) (-0.112530E+00,-0.227748E-03) (-0.796946E-07,-0.449908E-03)   2222.676802      1.000000
  708    5  (-0.112571E+00,-0.247023E-03) (-0.112530E+00,-0.227424E-03) (-0.794698E-07,-0.449273E-03)   2225.818395      1.000000
  709    5  (-0.112571E+00,-0.246675E-03) (-0.112530E+00,-0.227101E-03) (-0.792459E-07,-0.448640E-03)   2228.959988      1.000000
  710    5  (-0.112571E+00,-0.246327E-03) (-0.112530E+00,-0.226779E-03) (-0.790230E-07,-0.448008E-03)   2232.101580      1.000000
  711    5  (-0.112571E+00,-0.245981E-03) (-0.112530E+00,-0.226458E-03) (-0.788010E-07,-0.447379E-03)   2235.243173      1.000000
  712    5  (-0.112571E+00,-0.245636E-03) (-0.112530E+00,-0.226138E-03) (-0.785800E-07,-0.446751E-03)   2238.384766      1.000000
  713    5  (-0.112571E+00,-0.245292E-03) (-0.112530E+00,-0.225818E-03) (-0.783599E-07,-0.446125E-03)   2241.526358      1.000000
  714    5  (-0.112571E+00,-0.244948E-03) (-0.112530E+00,-0.225499E-03) (-0.781407E-07,-0.445500E-03)   2244.667951      1.000000
  715    5  (-0.112571E+00,-0.244606E-03) (-0.112530E+00,-0.225181E-03) (-0.779224E-07,-0.444878E-03)   2247.809544      1.000000
  716    5  (-0.112571E+00,-0.244265E-03) (-0.112530E+00,-0.224864E-03) (-0.777051E-07,-0.444257E-03)   2250.951136      1.000000
  717    5  (-0.112571E+00,-0.243924E-03) (-0.112530E+00,-0.224548E-03) (-0.774886E-07,-0.443637E-03)   2254.092729      1.000000
  718    5  (-0.112571E+00,-0.243585E-03) (-0.112530E+00,-0.224233E-03) (-0.772731E-07,-0.443020E-03)   2257.234322      1.000000
  719    5  (-0.112571E+00,-0.243246E-03) (-0.112530E+00,-0.223918E-03) (-0.770584E-07,-0.442404E-03)   2260.375914      1.000000
  720    5  (-0.112571E+00,-0.242909E-03) (-0.112530E+00,-0.223604E-03) (-0.768447E-07,-0.441790E-03)   2263.517507      1.000000
  721    5  (-0.112571E+00,-0.242572E-03) (-0.112530E+00,-0.223291E-03) (-0.766318E-07,-0.441178E-03)   2266.659100      1.000000
  722    5  (-0.112571E+00,-0.242236E-03) (-0.112530E+00,-0.222979E-03) (-0.764198E-07,-0.440567E-03)   2269.800692      1.000000
  723    5  (-0.112571E+00,-0.241901E-03) (-0.112530E+00,-0.222667E-03) (-0.762087E-07,-0.439958E-03)   2272.942285      1.000000
  724    5  (-0.112571E+00,-0.241567E-03) (-0.112530E+00,-0.222357E-03) (-0.759985E-07,-0.439351E-03)   2276.083878      1.000000
  725    5  (-0.112571E+00,-0.241234E-03) (-0.112530E+00,-0.222047E-03) (-0.757891E-07,-0.438746E-03)   2279.225470      1.000000
  726    5  (-0.112571E+00,-0.240902E-03) (-0.112530E+00,-0.221738E-03) (-0.755806E-07,-0.438142E-03)   2282.367063      1.000000
  727    5  (-0.112571E+00,-0.240571E-03) (-0.112530E+00,-0.221429E-03) (-0.753730E-07,-0.437539E-03)   2285.508655      1.000000
  728    5  (-0.112571E+00,-0.240241E-03) (-0.112530E+00,-0.221121E-03) (-0.751662E-07,-0.436939E-03)   2288.650248      1.000000
  729    5  (-0.112571E+00,-0.239912E-03) (-0.112530E+00,-0.220815E-03) (-0.749603E-07,-0.436340E-03)   2291.791841      1.000000
  730    5  (-0.112571E+00,-0.239583E-03) (-0.112530E+00,-0.220508E-03) (-0.747552E-07,-0.435742E-03)   2294.933433      1.000000
  731    5  (-0.112571E+00,-0.239256E-03) (-0.112530E+00,-0.220203E-03) (-0.745509E-07,-0.435147E-03)   2298.075026      1.000000
  732    5  (-0.112571E+00,-0.238929E-03) (-0.112530E+00,-0.219898E-03) (-0.743475E-07,-0.434553E-03)   2301.216619      1.000000
  733    5  (-0.112571E+00,-0.238603E-03) (-0.112530E+00,-0.219594E-03) (-0.741449E-07,-0.433960E-03)   2304.358211      1.000000
  734    5  (-0.112571E+00,-0.238279E-03) (-0.112530E+00,-0.219291E-03) (-0.739432E-07,-0.433369E-03)   2307.499804      1.000000
  735    5  (-0.112571E+00,-0.237955E-03) (-0.112530E+00,-0.218988E-03) (-0.737423E-07,-0.432780E-03)   2310.641397      1.000000
  736    5  (-0.112571E+00,-0.237632E-03) (-0.112530E+00,-0.218686E-03) (-0.735421E-07,-0.432193E-03)   2313.782989      1.000000
  737    5  (-0.112571E+00,-0.237309E-03) (-0.112530E+00,-0.218385E-03) (-0.733428E-07,-0.431607E-03)   2316.924582      1.000000
  738    5  (-0.112571E+00,-0.236988E-03) (-0.112530E+00,-0.218084E-03) (-0.731443E-07,-0.431022E-03)   2320.066175      1.000000
  739    5  (-0.112571E+00,-0.236668E-03) (-0.112530E+00,-0.217784E-03) (-0.729467E-07,-0.430439E-03)   2323.207767      1.000000
  740    5  (-0.112571E+00,-0.236348E-03) (-0.112530E+00,-0.217485E-03) (-0.727498E-07,-0.429858E-03)   2326.349360      1.000000
  741    5  (-0.112571E+00,-0.236029E-03) (-0.112530E+00,-0.217186E-03) (-0.725537E-07,-0.429278E-03)   2329.490953      1.000000
  742    5  (-0.112571E+00,-0.235711E-03) (-0.112530E+00,-0.216888E-03) (-0.723584E-07,-0.428700E-03)   2332.632545      1.000000
  743    5  (-0.112571E+00,-0.235394E-03) (-0.112530E+00,-0.216590E-03) (-0.721639E-07,-0.428124E-03)   2335.774138      1.000000
  744    5  (-0.112571E+00,-0.235078E-03) (-0.112530E+00,-0.216294E-03) (-0.719701E-07,-0.427549E-03)   2338.915731      1.000000
  745    5  (-0.112571E+00,-0.234763E-03) (-0.112530E+00,-0.215997E-03) (-0.717772E-07,-0.426975E-03)   2342.057323      1.000000
  746    5  (-0.112571E+00,-0.234448E-03) (-0.112530E+00,-0.215701E-03) (-0.715850E-07,-0.426403E-03)   2345.198916      1.000000
  747    5  (-0.112571E+00,-0.234135E-03) (-0.112530E+00,-0.215406E-03) (-0.713936E-07,-0.425833E-03)   2348.340509      1.000000
  748    5  (-0.112571E+00,-0.233822E-03) (-0.112530E+00,-0.215112E-03) (-0.712030E-07,-0.425264E-03)   2351.482101      1.000000
  749    5  (-0.112571E+00,-0.233510E-03) (-0.112530E+00,-0.214817E-03) (-0.710131E-07,-0.424696E-03)   2354.623694      1.000000
  750    5  (-0.112571E+00,-0.233199E-03) (-0.112530E+00,-0.214524E-03) (-0.708240E-07,-0.424130E-03)   2357.765287      1.000000
  751    5  (-0.112571E+00,-0.232888E-03) (-0.112530E+00,-0.214231E-03) (-0.706356E-07,-0.423566E-03)   2360.906879      1.000000
  752    5  (-0.112571E+00,-0.232579E-03) (-0.112530E+00,-0.213938E-03) (-0.704480E-07,-0.423003E-03)   2364.048472      1.000000
  753    5  (-0.112571E+00,-0.232270E-03) (-0.112530E+00,-0.213646E-03) (-0.702612E-07,-0.422442E-03)   2367.190064      1.000000
  754    5  (-0.112571E+00,-0.231962E-03) (-0.112530E+00,-0.213354E-03) (-0.700750E-07,-0.421882E-03)   2370.331657      1.000000
  755    5  (-0.112571E+00,-0.231655E-03) (-0.112530E+00,-0.213062E-03) (-0.698896E-07,-0.421323E-03)   2373.473250      1.000000
  756    5  (-0.112571E+00,-0.231349E-03) (-0.112530E+00,-0.212771E-03) (-0.697050E-07,-0.420767E-03)   2376.614842      1.000000
  757    5  (-0.112571E+00,-0.231044E-03) (-0.112530E+00,-0.212480E-03) (-0.695211E-07,-0.420211E-03)   2379.756435      1.000000
  758    5  (-0.112571E+00,-0.230739E-03) (-0.112530E+00,-0.212190E-03) (-0.693379E-07,-0.419657E-03)   2382.898028      1.000000
  759    5  (-0.112571E+00,-0.230435E-03) (-0.112530E+00,-0.211899E-03) (-0.691554E-07,-0.419105E-03)   2386.039620      1.000000
  760    5  (-0.112571E+00,-0.230132E-03) (-0.112530E+00,-0.211609E-03) (-0.689737E-07,-0.418553E-03)   2389.181213      1.000000
  761    5  (-0.112571E+00,-0.229830E-03) (-0.112530E+00,-0.211319E-03) (-0.687926E-07,-0.418004E-03)   2392.322806      1.000000
  762    5  (-0.112571E+00,-0.229529E-03) (-0.112530E+00,-0.211030E-03) (-0.686123E-07,-0.417456E-03)   2395.464398      1.000000
  763    5  (-0.112571E+00,-0.229228E-03) (-0.112530E+00,-0.210740E-03) (-0.684327E-07,-0.416909E-03)   2398.605991      1.000000
  764    5  (-0.112571E+00,-0.228928E-03) (-0.112530E+00,-0.210450E-03) (-0.682538E-07,-0.416363E-03)   2401.747584      1.000000
  765    5  (-0.112571E+00,-0.228629E-03) (-0.112530E+00,-0.210160E-03) (-0.680756E-07,-0.415820E-03)   2404.889176      1.000000
  766    5  (-0.112571E+00,-0.228331E-03) (-0.112530E+00,-0.209871E-03) (-0.678981E-07,-0.415277E-03)   2408.030769      1.000000
  767    5  (-0.112571E+00,-0.228033E-03) (-0.112530E+00,-0.209580E-03) (-0.677213E-07,-0.414736E-03)   2411.172362      1.000000
  768    5  (-0.112571E+00,-0.227737E-03) (-0.112530E+00,-0.209290E-03) (-0.675451E-07,-0.414196E-03)   2414.313954      1.000000
  769    5  (-0.112571E+00,-0.227441E-03) (-0.112530E+00,-0.208999E-03) (-0.673697E-07,-0.413658E-03)   2417.455547      1.000000
  770    5  (-0.112571E+00,-0.227146E-03) (-0.112530E+00,-0.208708E-03) (-0.671949E-07,-0.413121E-03)   2420.597140      1.000000
  771    5  (-0.112571E+00,-0.226851E-03) (-0.112530E+00,-0.208416E-03) (-0.670208E-07,-0.412586E-03)   2423.738732      1.000000
  772    5  (-0.112571E+00,-0.226557E-03) (-0.112530E+00,-0.208123E-03) (-0.668474E-07,-0.412052E-03)   2426.880325      1.000000
  773    5  (-0.112571E+00,-0.226265E-03) (-0.112530E+00,-0.207830E-03) (-0.666747E-07,-0.411519E-03)   2430.021918      1.000000
  774    5  (-0.112571E+00,-0.225972E-03) (-0.112530E+00,-0.207535E-03) (-0.665026E-07,-0.410988E-03)   2433.163510      1.000000
  775    5  (-0.112571E+00,-0.225681E-03) (-0.112530E+00,-0.207238E-03) (-0.663312E-07,-0.410458E-03)   2436.305103      1.000000
  776    5  (-0.112571E+00,-0.225390E-03) (-0.112530E+00,-0.206941E-03) (-0.661605E-07,-0.409929E-03)   2439.446696      1.000000
  777    5  (-0.112571E+00,-0.225100E-03) (-0.112530E+00,-0.206641E-03) (-0.659904E-07,-0.409402E-03)   2442.588288      1.000000
